gen;original_env_id;genome_id;env0_fit;env1_fit;env2_fit;env3_fit;env4_fit;env5_fit;env6_fit
5; 0; 507; 1.8489; 1.0461; 0.4904; 0.0308; 1.4258; 0.3974; 0.4166
10; 0; 2393; -0.7082; 1.0208; 0.5347; 0.2167; 1.0187; -1.4313; 0.4212
15; 0; 3902; 0.4918; 0.5024; 0.6437; 0.113; 1.3153; -2.2871; 0.4679
20; 0; 4026; 1.8129; 1.1697; 0.6691; 0.1672; 1.1877; 0.3668; 0.3678
25; 0; 6603; 0.6534; 0.7701; 0.4253; 0.2837; 0.7701; 0.4896; 0.4868
30; 0; 8557; 2.0572; 2.0951; 2.241; 0.511; 1.1181; 0.3742; 3.3505
35; 0; 10128; 1.5595; -0.041; 0.0335; -2.6237; 5.4439; -2.0928; -2.4664
40; 0; 11560; 1.6722; 1.0434; 0.3528; 1.1054; 1.0434; -0.7609; 0.7931
45; 0; 12535; 1.7799; 7.4742; 3.3872; -1.1387; 3.5517; -0.313; -1.4935
50; 0; 12535; 1.7799; 7.4742; 3.3872; -1.1387; 3.5517; -0.313; -1.4935
55; 0; 16329; 0.96; 1.123; 0.492; -0.9489; 1.1478; -1.2538; 0.2906
60; 0; 17664; 0.3643; 0.6625; 0.6347; 0.3164; 0.6625; 0.5912; 0.5886
65; 0; 17664; 0.3643; 0.6625; 0.6347; 0.3164; 0.6625; 0.5912; 0.5886
70; 0; 21296; 0.773; 1.0386; 0.9687; 0.034; 2.9357; 0.2371; 0.9708
75; 0; 22956; 2.3552; 4.0982; -1.7547; -3.4469; 2.9234; -3.0491; -0.6428
80; 0; 24606; 1.9412; 5.0638; -0.7569; -1.3013; 5.1984; -1.95; -3.8411
85; 0; 26178; 0.3204; 1.1599; -0.3192; 4.1426; 7.4665; -2.7293; 3.6177
90; 0; 27752; 0.6338; 0.0014; 0.0014; 0.0014; 0.0014; 1.0583; 0.0014
95; 0; 29441; 0.1511; -2.5557; 0.7457; -1.1118; 2.8542; -1.2931; -0.6816
100; 0; 31014; 0.4155; 0.1856; -0.2904; -0.8171; 0.1856; -0.095; -0.0448
105; 0; 31434; 1.392; 0.3778; -1.0503; -1.7228; -1.1439; -2.6979; 1.9512
110; 0; 33991; 2.5991; 0.4724; 0.0486; 0.116; 0.4724; 0.3861; 0.3499
115; 0; 35599; -3.1537; -2.1001; 0.5897; 1.0743; -1.7607; -2.6462; 0.6923
120; 0; 37205; 1.6633; 0.8732; -0.786; -2.8836; 0.8732; -1.875; 3.2921
125; 0; 38804; 0.5815; 1.0775; 0.6417; 0.101; 1.2349; 0.2484; 0.4076
130; 0; 40323; 0.2368; 1.1057; -2.13; -1.3843; 1.2226; 0.4948; 2.2394
135; 0; 42026; 0.0696; 0.8805; -1.8654; -3.1843; 0.8805; -2.1507; 1.4773
140; 0; 43227; 1.6584; 0.0897; 0.6209; -0.0581; 0.0897; -0.2386; 4.1228
145; 0; 44878; 0.4328; 0.5402; 0.355; 0.1929; 0.5402; -0.1646; 0.3953
150; 0; 46288; 0.9831; 1.2313; 0.6178; 5.3564; 1.3662; -0.7967; -1.921
155; 0; 46343; 3.5697; -1.8247; -2.8669; -1.5514; 0.8901; -2.3211; -1.6049
160; 0; 47918; 2.5005; 2.3619; 0.2255; 7.4553; 1.5096; -1.1185; -0.0655
165; 0; 51038; 1.6394; 0.3897; -1.3987; -0.8369; 1.4687; -1.2133; -2.1436
170; 0; 52536; 3.0452; -1.4237; -2.0827; -1.3713; 0.3671; -1.5507; -2.0928
175; 0; 53898; 2.8897; 0.7291; -0.2507; 0.1808; -0.9273; -1.253; -0.9462
180; 0; 55702; 1.3589; -0.8256; 0.3317; -0.5062; 2.9403; -0.3483; -1.101
185; 0; 57284; 2.5251; 0.7426; -1.2822; -0.7391; 0.965; -2.9635; -0.933
190; 0; 58195; 2.9124; -0.0186; -1.9617; 0.3029; 1.3342; -2.1543; -1.9611
195; 0; 58195; 2.9124; -0.0186; -1.9617; 0.3029; 1.3342; -2.1543; -1.9611
200; 0; 62049; 3.3959; 0.6739; -0.7983; -0.8008; 0.9395; -1.7475; -1.4841
