gen;original_env_id;genome_id;env0_fit;env1_fit;env2_fit;env3_fit;env4_fit;env5_fit;env6_fit
5; 0; 86; 0.9325; 0.9887; 0.6771; 1.4513; 1.2477; 0.1707; 1.1541
10; 0; 86; 0.9325; 0.9887; 0.6771; 1.4513; 1.2477; 0.1707; 1.1541
15; 0; 4108; 3.3585; 4.1388; -1.2238; 1.0607; 2.8783; 1.6699; 3.1449
20; 0; 5194; 3.6511; 2.9125; 2.1078; 4.2752; 7.5659; 2.3675; -1.2395
25; 0; 7242; 2.5278; 0.5788; 0.4877; 1.8491; 0.5788; 2.3375; 0.28
30; 0; 8969; 4.7096; 2.9758; 3.22; 4.2195; 4.4779; -0.6854; -0.6503
35; 0; 10636; 0.2145; 0.9218; 1.0724; -1.2081; 2.2807; -1.6563; -0.669
40; 0; 12265; 4.5629; 2.712; 0.6487; 0.541; 2.7873; -2.2863; 0.4139
45; 0; 14001; 7.3694; 5.0329; 3.7443; 1.6862; 1.9783; -0.9179; -0.9621
50; 0; 15636; 3.6747; 2.7118; -0.4898; 0.7115; 2.477; -0.7676; 1.0164
55; 0; 17205; 4.7997; 2.9056; 0.4789; 0.6382; 3.7102; -1.3404; 2.5693
60; 0; 18802; 3.6574; -1.7445; 0.5261; -1.7761; 3.5416; -0.7763; 0.206
65; 0; 20467; 3.7267; 0.9897; 4.1681; 4.658; 5.2359; 0.0612; 0.0701
70; 0; 22019; 5.3902; 1.0859; -0.5165; 2.0229; 0.461; -2.0001; 0.4454
75; 0; 23724; 3.8446; 0.8563; -0.1383; 0.7153; 1.77; -0.6068; 0.642
80; 0; 25364; 2.9776; 0.6253; 3.2597; 3.5174; 7.5464; -0.9183; 0.9687
85; 0; 27054; 3.1978; 1.2428; 1.1644; 3.1406; 7.5449; 0.8321; -0.6757
90; 0; 28755; 7.3713; 2.7456; 0.2264; 0.9037; 0.2376; -0.8832; 0.4307
95; 0; 30430; 4.1827; 1.1593; 5.1418; 0.5748; -0.9368; 0.0603; 0.432
100; 0; 32137; 3.605; 1.3915; 2.3192; 2.467; 3.6195; -0.2395; -0.6552
105; 0; 33812; 2.8305; 0.0457; 0.8681; 2.4433; 2.1982; -0.171; -0.7414
110; 0; 35471; 3.5125; 1.3644; 1.0412; 1.6162; 3.0402; 1.0987; -0.0967
115; 0; 36919; 7.5508; 1.1698; 3.6493; 1.5115; 4.4779; 0.4643; -1.0598
120; 0; 38792; 5.0367; -0.6346; 0.313; 0.6725; 3.7485; -0.6263; 0.0551
125; 0; 40406; 4.7411; 0.3156; 0.6838; -0.5935; 2.9794; 0.6077; 0.2492
130; 0; 42096; 4.5525; 2.7959; 1.5136; 3.7087; 2.1765; -0.8333; 0.7814
135; 0; 43628; 3.8147; -0.2955; 0.6154; 2.3523; 2.2532; 5.2612; 0.1256
140; 0; 45059; 4.0355; 1.4125; 0.517; 0.4678; -0.4505; 0.5767; 0.3439
145; 0; 46880; 7.3638; 3.8644; 1.4041; 1.3475; 7.3579; -1.5589; 0.678
150; 0; 48575; 7.3635; 1.1145; -0.139; 0.3556; 0.7934; -0.01; 2.5161
155; 0; 50130; 1.1552; 2.1555; 1.9214; -0.1873; 2.02; -1.0974; -1.4987
160; 0; 51920; 3.6423; 1.0251; -0.7809; 0.7025; 2.6956; 0.2662; 0.4268
165; 0; 53533; 3.5459; 0.2608; 2.5707; 2.5728; -1.4411; -0.5659; -0.9699
170; 0; 55193; 7.5496; -0.5219; 3.3931; -1.691; 4.3028; 3.4157; 3.9786
175; 0; 56701; 5.4457; 1.4673; 5.2356; 0.7018; -1.1951; -0.6226; 2.8306
180; 0; 58506; 4.3821; 2.9389; 0.2952; 0.5248; 2.7945; 0.332; -0.8812
185; 0; 60121; 3.4875; 2.1945; 0.8541; 2.2601; 2.1747; -0.6918; 0.6521
190; 0; 61683; 4.742; 0.4263; -1.1844; 5.3305; 1.5073; -1.535; 0.5456
195; 0; 63464; 3.7709; 1.2882; 1.1424; 0.7085; 2.3481; -0.6477; 1.588
200; 0; 65117; 3.7593; -1.7903; 1.5911; 2.0631; 7.5495; 0.4907; 0.2173
