gen;original_env_id;genome_id;env0_fit;env1_fit;env2_fit;env3_fit;env4_fit;env5_fit;env6_fit
5; 0; 46; 1.9134; -0.2758; -0.2758; -0.2758; -0.2758; -0.2959; -0.2758
10; 0; 269; 2.3244; 1.2788; 0.7839; 0.3632; 1.3079; 0.5711; 0.5672
15; 0; 269; 2.3244; 1.2788; 0.7839; 0.3632; 1.3079; 0.5711; 0.5672
20; 0; 638; 2.8873; 0.0396; 0.0396; 0.0396; 0.0396; 0.0388; 0.0396
25; 0; 638; 2.8873; 0.0396; 0.0396; 0.0396; 0.0396; 0.0388; 0.0396
30; 0; 638; 2.8873; 0.0396; 0.0396; 0.0396; 0.0396; 0.0388; 0.0396
35; 0; 638; 2.8873; 0.0396; 0.0396; 0.0396; 0.0396; 0.0388; 0.0396
40; 0; 1480; 4.3177; -0.0134; -0.0134; -0.0134; -0.0134; -0.0153; -0.0134
45; 0; 1480; 4.3177; -0.0134; -0.0134; -0.0134; -0.0134; -0.0153; -0.0134
45; 4; 12; 1.1133; 0.6862; 0.28; 0.0531; 0.6862; 5.0676; 0.9463
45; 15; 840; 0.8727; 0.8803; -2.2878; -1.6825; 0.8486; -2.8639; 1.6646
45; 9; 1454; 1.2507; 1.1184; 0.3365; 0.2836; 2.775; -0.3184; -0.3729
50; 0; 1480; 4.3177; -0.0134; -0.0134; -0.0134; -0.0134; -0.0153; -0.0134
50; 4; 12; 1.1133; 0.6862; 0.28; 0.0531; 0.6862; 5.0676; 0.9463
50; 15; 261; 0.7188; -1.7648; 3.1877; -2.7702; -0.3617; 7.4627; 3.8808
50; 9; 1454; 1.2507; 1.1184; 0.3365; 0.2836; 2.775; -0.3184; -0.3729
55; 0; 1480; 4.3177; -0.0134; -0.0134; -0.0134; -0.0134; -0.0153; -0.0134
55; 4; 12; 1.1133; 0.6862; 0.28; 0.0531; 0.6862; 5.0676; 0.9463
55; 15; 261; 0.7188; -1.7648; 3.1877; -2.7702; -0.3617; 7.4627; 3.8808
55; 9; 1454; 1.2507; 1.1184; 0.3365; 0.2836; 2.775; -0.3184; -0.3729
60; 0; 2121; 2.9812; 0.6308; -0.9477; -0.1289; 0.6308; 0.0929; 0.1021
60; 4; 12; 1.1133; 0.6862; 0.28; 0.0531; 0.6862; 5.0676; 0.9463
60; 15; 261; 0.8727; 0.8803; -2.2878; -1.6825; 0.8486; -2.8639; 1.6646
60; 9; 1454; 1.2507; 1.1184; 0.3365; 0.2836; 2.775; -0.3184; -0.3729
65; 0; 2121; 2.9812; 0.6308; -0.9477; -0.1289; 0.6308; 0.0929; 0.1021
65; 4; 12; 1.1133; 0.6862; 0.28; 0.0531; 0.6862; 5.0676; 0.9463
65; 15; 261; 0.9264; 2.4039; 1.7901; -1.3076; 4.504; 1.9355; 0.7968
65; 9; 1454; 1.2507; 1.1184; 0.3365; 0.2836; 2.775; -0.3184; -0.3729
70; 0; 2121; 1.3487; 1.0616; 1.8602; 1.0616; 1.3368; 0.3343; 2.3128
70; 4; 12; 1.1133; 0.6862; 0.28; 0.0531; 0.6862; 5.0676; 0.9463
70; 15; 261; 0.9264; 2.4039; 1.7901; -1.3076; 4.504; 1.9355; 0.7968
70; 9; 1454; 1.2507; 1.1184; 0.3365; 0.2836; 2.775; -0.3184; -0.3729
75; 0; 2121; 2.3878; -0.0958; -0.0958; -0.0958; -0.0958; -0.093; -0.0958
75; 4; 12; 1.1133; 0.6862; 0.28; 0.0531; 0.6862; 5.0676; 0.9463
75; 15; 261; 0.9264; 2.4039; 1.7901; -1.3076; 4.504; 1.9355; 0.7968
75; 9; 1432; 0.9089; 3.544; -1.574; -0.1993; 3.5482; -0.3179; -3.4177
80; 0; 2121; 4.3367; 0.0862; 0.0862; 0.0862; 0.0862; 0.0416; 0.0862
80; 4; 12; 1.1133; 0.6862; 0.28; 0.0531; 0.6862; 5.0676; 0.9463
80; 15; 261; 0.9264; 2.4039; 1.7901; -1.3076; 4.504; 1.9355; 0.7968
80; 9; 1432; 0.9089; 3.544; -1.574; -0.1993; 3.5482; -0.3179; -3.4177
85; 0; 2121; 4.3367; 0.0862; 0.0862; 0.0862; 0.0862; 0.0416; 0.0862
85; 4; 12; 1.1133; 0.6862; 0.28; 0.0531; 0.6862; 5.0676; 0.9463
85; 15; 261; 0.9264; 2.4039; 1.7901; -1.3076; 4.504; 1.9355; 0.7968
85; 9; 1432; 0.9089; 3.544; -1.574; -0.1993; 3.5482; -0.3179; -3.4177
90; 0; 2121; 4.3367; 0.0862; 0.0862; 0.0862; 0.0862; 0.0416; 0.0862
90; 4; 12; 1.1133; 0.6862; 0.28; 0.0531; 0.6862; 5.0676; 0.9463
90; 15; 261; 0.9264; 2.4039; 1.7901; -1.3076; 4.504; 1.9355; 0.7968
90; 9; 2090; 7.4712; -2.2224; 0.048; -2.1779; -2.2224; 0.1071; -2.1483
90; 36; 840; 0.8727; 0.8803; -2.2878; -1.6825; 0.8486; -2.8639; 1.6646
90; 28; 1694; 2.2664; 1.0458; 0.5885; -0.3965; 1.2709; 0.1078; 0.2687
90; 29; 12; 1.1133; 0.6862; 0.28; 0.0531; 0.6862; 5.0676; 0.9463
95; 0; 2121; 4.3367; 0.0862; 0.0862; 0.0862; 0.0862; 0.0416; 0.0862
95; 4; 12; 1.1133; 0.6862; 0.28; 0.0531; 0.6862; 5.0676; 0.9463
95; 15; 261; 0.9264; 2.4039; 1.7901; -1.3076; 4.504; 1.9355; 0.7968
95; 9; 2090; 7.4712; -2.2224; 0.048; -2.1779; -2.2224; 0.1071; -2.1483
95; 36; 214; -7.662; 1.014; 2.118; 0.2692; 0.3289; 0.0101; -2.5178
95; 28; 1694; 2.2664; 1.0458; 0.5885; -0.3965; 1.2709; 0.1078; 0.2687
95; 29; 12; 1.1133; 0.6862; 0.28; 0.0531; 0.6862; 5.0676; 0.9463
100; 0; 2090; 7.4712; -2.2224; 0.048; -2.1779; -2.2224; 0.1071; -2.1483
100; 4; 2090; 0.586; 1.3001; -3.6133; -2.1469; 1.3001; -1.2372; -1.4966
100; 15; 12; 1.1133; 0.6862; 0.28; 0.0531; 0.6862; 5.0676; 0.9463
100; 9; 2090; 7.4712; -2.2224; 0.048; -2.1779; -2.2224; 0.1071; -2.1483
100; 36; 2090; 0.9089; 3.544; -1.574; -0.1993; 3.5482; -0.3179; -3.4177
100; 28; 2090; 0.9089; 3.544; -1.574; -0.1993; 3.5482; -0.3179; -3.4177
100; 29; 2090; 0.9089; 3.544; -1.574; -0.1993; 3.5482; -0.3179; -3.4177
105; 0; 2090; 7.4712; -2.2224; 0.048; -2.1779; -2.2224; 0.1071; -2.1483
105; 4; 2090; 0.586; 1.3001; -3.6133; -2.1469; 1.3001; -1.2372; -1.4966
105; 15; 12; 1.1133; 0.6862; 0.28; 0.0531; 0.6862; 5.0676; 0.9463
105; 9; 2090; 7.4712; -2.2224; 0.048; -2.1779; -2.2224; 0.1071; -2.1483
105; 36; 2090; 0.9089; 3.544; -1.574; -0.1993; 3.5482; -0.3179; -3.4177
105; 28; 2090; 0.9089; 3.544; -1.574; -0.1993; 3.5482; -0.3179; -3.4177
105; 29; 2090; 0.9089; 3.544; -1.574; -0.1993; 3.5482; -0.3179; -3.4177
110; 0; 2090; 7.4712; -2.2224; 0.048; -2.1779; -2.2224; 0.1071; -2.1483
110; 4; 2090; 0.586; 1.3001; -3.6133; -2.1469; 1.3001; -1.2372; -1.4966
110; 15; 12; 1.1133; 0.6862; 0.28; 0.0531; 0.6862; 5.0676; 0.9463
110; 9; 2090; 7.4712; -2.2224; 0.048; -2.1779; -2.2224; 0.1071; -2.1483
110; 36; 2090; 0.9089; 3.544; -1.574; -0.1993; 3.5482; -0.3179; -3.4177
110; 28; 2090; 0.9089; 3.544; -1.574; -0.1993; 3.5482; -0.3179; -3.4177
110; 29; 2090; 0.9089; 3.544; -1.574; -0.1993; 3.5482; -0.3179; -3.4177
115; 0; 2090; 7.4712; -2.2224; 0.048; -2.1779; -2.2224; 0.1071; -2.1483
115; 4; 2090; 0.586; 1.3001; -3.6133; -2.1469; 1.3001; -1.2372; -1.4966
115; 15; 12; 1.1133; 0.6862; 0.28; 0.0531; 0.6862; 5.0676; 0.9463
115; 9; 2090; 7.4712; -2.2224; 0.048; -2.1779; -2.2224; 0.1071; -2.1483
115; 36; 2090; 0.9089; 3.544; -1.574; -0.1993; 3.5482; -0.3179; -3.4177
115; 28; 2090; 0.9089; 3.544; -1.574; -0.1993; 3.5482; -0.3179; -3.4177
115; 29; 2090; 0.9089; 3.544; -1.574; -0.1993; 3.5482; -0.3179; -3.4177
120; 0; 2090; 7.4712; -2.2224; 0.048; -2.1779; -2.2224; 0.1071; -2.1483
120; 4; 2090; 0.586; 1.3001; -3.6133; -2.1469; 1.3001; -1.2372; -1.4966
120; 15; 12; 1.1133; 0.6862; 0.28; 0.0531; 0.6862; 5.0676; 0.9463
120; 9; 2090; 7.4712; -2.2224; 0.048; -2.1779; -2.2224; 0.1071; -2.1483
120; 36; 2090; 0.9089; 3.544; -1.574; -0.1993; 3.5482; -0.3179; -3.4177
120; 28; 2090; 0.9089; 3.544; -1.574; -0.1993; 3.5482; -0.3179; -3.4177
120; 29; 2090; 0.9089; 3.544; -1.574; -0.1993; 3.5482; -0.3179; -3.4177
125; 0; 2090; 7.4712; -2.2224; 0.048; -2.1779; -2.2224; 0.1071; -2.1483
125; 4; 2090; 0.586; 1.3001; -3.6133; -2.1469; 1.3001; -1.2372; -1.4966
125; 15; 12; 1.1133; 0.6862; 0.28; 0.0531; 0.6862; 5.0676; 0.9463
125; 9; 2090; 7.4712; -2.2224; 0.048; -2.1779; -2.2224; 0.1071; -2.1483
125; 36; 2090; 0.9089; 3.544; -1.574; -0.1993; 3.5482; -0.3179; -3.4177
125; 28; 2090; 0.9089; 3.544; -1.574; -0.1993; 3.5482; -0.3179; -3.4177
125; 29; 2090; 0.9089; 3.544; -1.574; -0.1993; 3.5482; -0.3179; -3.4177
130; 0; 2090; 7.4712; -2.2224; 0.048; -2.1779; -2.2224; 0.1071; -2.1483
130; 4; 2090; 0.586; 1.3001; -3.6133; -2.1469; 1.3001; -1.2372; -1.4966
130; 15; 12; 1.1133; 0.6862; 0.28; 0.0531; 0.6862; 5.0676; 0.9463
130; 9; 2090; 7.4712; -2.2224; 0.048; -2.1779; -2.2224; 0.1071; -2.1483
130; 36; 2090; 0.9089; 3.544; -1.574; -0.1993; 3.5482; -0.3179; -3.4177
130; 28; 2090; 0.9089; 3.544; -1.574; -0.1993; 3.5482; -0.3179; -3.4177
130; 29; 2090; 0.9089; 3.544; -1.574; -0.1993; 3.5482; -0.3179; -3.4177
135; 0; 2090; 7.4712; -2.2224; 0.048; -2.1779; -2.2224; 0.1071; -2.1483
135; 4; 2090; 0.586; 1.3001; -3.6133; -2.1469; 1.3001; -1.2372; -1.4966
135; 15; 12; 1.1133; 0.6862; 0.28; 0.0531; 0.6862; 5.0676; 0.9463
135; 9; 2090; 7.4712; -2.2224; 0.048; -2.1779; -2.2224; 0.1071; -2.1483
135; 36; 2090; 0.9089; 3.544; -1.574; -0.1993; 3.5482; -0.3179; -3.4177
135; 28; 2090; 0.9089; 3.544; -1.574; -0.1993; 3.5482; -0.3179; -3.4177
135; 29; 2090; 0.9089; 3.544; -1.574; -0.1993; 3.5482; -0.3179; -3.4177
135; 51; 1204; 0.7427; 0.7328; 0.1892; 3.8313; 1.3424; 0.1774; -3.1524
135; 44; 1432; 0.9089; 3.544; -1.574; -0.1993; 3.5482; -0.3179; -3.4177
135; 47; 2264; -2.5183; 1.8136; 7.2832; 1.8136; 1.8136; -0.0002; -0.008
140; 0; 2090; 7.4712; -2.2224; 0.048; -2.1779; -2.2224; 0.1071; -2.1483
140; 4; 2090; 0.0297; 1.1933; -1.5693; 0.1663; 1.1313; -0.7891; 0.4328
140; 15; 12; 1.1133; 0.6862; 0.28; 0.0531; 0.6862; 5.0676; 0.9463
140; 9; 2090; 7.4712; -2.2224; 0.048; -2.1779; -2.2224; 0.1071; -2.1483
140; 36; 2090; 0.9089; 3.544; -1.574; -0.1993; 3.5482; -0.3179; -3.4177
140; 28; 2090; 0.9089; 3.544; -1.574; -0.1993; 3.5482; -0.3179; -3.4177
140; 29; 2090; 0.9089; 3.544; -1.574; -0.1993; 3.5482; -0.3179; -3.4177
140; 51; 213; 1.3495; 2.0202; -3.8259; 0.0023; 1.1152; -0.7998; -0.0814
140; 44; 168; 0.9628; -0.2119; 0.2807; -0.8185; -0.8273; -1.0175; -3.7539
140; 47; 2264; -2.5183; 1.8136; 7.2832; 1.8136; 1.8136; -0.0002; -0.008
145; 0; 2090; 7.4712; -2.2224; 0.048; -2.1779; -2.2224; 0.1071; -2.1483
