gen;original_env_id;genome_id;env0_fit;env1_fit;env2_fit;env3_fit;env4_fit;env5_fit;env6_fit
5; 0; 208; 7.3584; 0.0083; 0.0083; 0.0083; 0.0083; 0.0099; 0.0083
10; 0; 208; 7.3584; 0.0083; 0.0083; 0.0083; 0.0083; 0.0099; 0.0083
15; 0; 688; 7.3602; 0.0083; 0.0083; 0.0083; 0.0083; -0.8521; 0.0083
20; 0; 956; 7.4138; -0.0255; -0.0255; -0.0255; -0.0255; -0.0146; -0.0255
25; 0; 1192; 7.5632; 4.5131; 5.156; -0.9679; 0.7137; -0.6356; 1.9969
30; 0; 1192; 7.5632; 4.5131; 5.156; -0.9679; 0.7137; -0.6356; 1.9969
35; 0; 1192; 7.5632; 4.5131; 5.156; -0.9679; 0.7137; -0.6356; 1.9969
40; 0; 1192; 7.5632; 4.5131; 5.156; -0.9679; 0.7137; -0.6356; 1.9969
45; 0; 1192; 7.5632; 4.5131; 5.156; -0.9679; 0.7137; -0.6356; 1.9969
45; 12; 2092; 7.3532; 1.1222; 1.9698; -1.5991; 1.2162; -0.7979; 3.616
45; 15; 1192; 7.5632; 4.5131; 5.156; -0.9679; 0.7137; -0.6356; 1.9969
45; 17; 2110; 1.0098; 0.8834; 1.4542; 1.4949; 0.8834; -0.7396; 3.5437
50; 0; 1192; 7.5632; 4.5131; 5.156; -0.9679; 0.7137; -0.6356; 1.9969
50; 12; 230; 4.6414; 2.4401; 0.8425; 1.6344; 1.8802; 0.3332; 1.8513
50; 15; 256; 7.5595; -0.2606; -1.2651; 0.6678; 3.7072; -1.5482; 0.7442
50; 17; 206; 1.0075; 1.3591; 0.8002; -1.1982; 2.1752; -0.507; 1.9038
55; 0; 1192; 7.5632; 4.5131; 5.156; -0.9679; 0.7137; -0.6356; 1.9969
55; 12; 596; 3.4909; 2.8343; 0.8999; -0.7187; 3.9021; -0.4821; 7.55
55; 15; 484; 4.2564; 0.3125; 5.3404; 0.0783; -0.4905; -0.9006; 0.2169
55; 17; 206; 1.0075; 1.3591; 0.8002; -1.1982; 2.1752; -0.507; 1.9038
60; 0; 1192; 7.5632; 4.5131; 5.156; -0.9679; 0.7137; -0.6356; 1.9969
60; 12; 596; 2.665; 1.573; 0.6494; 3.0861; 3.865; -0.6353; 4.2476
60; 15; 484; 4.2564; 0.3125; 5.3404; 0.0783; -0.4905; -0.9006; 0.2169
60; 17; 753; 7.5548; 7.5509; 7.5535; -1.1084; 5.1742; 3.0006; 1.1097
65; 0; 1192; 7.5632; 4.5131; 5.156; -0.9679; 0.7137; -0.6356; 1.9969
65; 12; 596; 4.5786; 1.2766; 0.1922; 2.4436; 0.3599; 0.3642; 0.7343
65; 15; 1007; 7.5662; 3.9215; 1.7571; 4.1577; 4.0075; -0.0352; 4.9633
65; 17; 753; 4.8335; 2.6817; 0.8707; -1.5876; 3.781; 0.1867; -0.0201
70; 0; 1192; 7.5632; 4.5131; 5.156; -0.9679; 0.7137; -0.6356; 1.9969
70; 12; 596; 4.5786; 1.2766; 0.1922; 2.4436; 0.3599; 0.3642; 0.7343
70; 15; 1007; 2.6356; 0.7327; 0.2529; 0.3663; 0.7327; 0.4778; -0.5403
70; 17; 753; 7.3567; 2.2387; 1.1806; 0.4685; -0.4483; -1.368; 1.5309
75; 0; 1192; 7.5632; 4.5131; 5.156; -0.9679; 0.7137; -0.6356; 1.9969
75; 12; 596; 4.7149; 3.332; 2.4456; 0.2012; 1.3201; -0.7539; 0.8978
75; 15; 1007; 2.6356; 0.7327; 0.2529; 0.3663; 0.7327; 0.4778; -0.5403
75; 17; 753; 4.4412; 0.8955; 0.7247; 7.5049; 2.5028; -1.667; 0.2354
80; 0; 1192; 7.3673; 7.359; 1.0811; 0.1558; 4.0353; 0.4108; -1.5473
80; 12; 596; 4.7149; 3.332; 2.4456; 0.2012; 1.3201; -0.7539; 0.8978
80; 15; 1007; 2.6356; 0.7327; 0.2529; 0.3663; 0.7327; 0.4778; -0.5403
80; 17; 753; 3.3292; 0.9673; 0.6575; 1.2909; 1.5866; 0.3945; 1.8514
85; 0; 1192; 7.5477; 7.5479; 1.3074; 1.3515; 3.5857; -1.0898; 1.545
85; 12; 596; 4.7149; 3.332; 2.4456; 0.2012; 1.3201; -0.7539; 0.8978
85; 15; 1007; 2.8815; 2.0005; 0.8128; 0.569; 2.2076; 0.6047; 0.4863
85; 17; 753; 5.2347; 1.8375; 4.7128; 0.6533; 4.9997; -0.8761; -0.6985
90; 0; 1192; 7.5477; 7.5479; 1.3074; 1.3515; 3.5857; -1.0898; 1.545
90; 12; 596; 4.7149; 3.332; 2.4456; 0.2012; 1.3201; -0.7539; 0.8978
90; 15; 1007; 2.8815; 2.0005; 0.8128; 0.569; 2.2076; 0.6047; 0.4863
90; 17; 753; 7.3561; 3.4564; 2.3745; 0.8405; 7.3605; -1.2192; 0.7016
90; 29; 17; 4.9238; 7.5673; 7.5773; 0.6835; 0.5093; -0.6373; -0.9035
