
 ****** Running generation 0 ****** 

Population's average fitness: -742.22181 stdev: 2621.25578
Best fitness: 0.39763 - size: (2, 14) - species 29 - id 41
Average adjusted fitness: 0.895
Mean genetic distance 3.204, standard deviation 0.555
Population of 286 members in 134 species:
   ID   age  size  fitness  adj fit  stag
  ====  ===  ====  =======  =======  ====
     1    0     9      0.3    1.000     0
     2    0     5      0.3    1.000     0
     3    0     1      0.2    1.000     0
     4    0     1      0.3    1.000     0
     5    0     1     -0.3    1.000     0
     6    0     2      0.3    1.000     0
     7    0     2     -0.2    1.000     0
     8    0     1      0.0    1.000     0
     9    0     3  -10000.0    0.000     0
    10    0     1      0.1    1.000     0
    11    0     1      0.2    1.000     0
    12    0     1      0.3    1.000     0
    13    0     2     -0.1    1.000     0
    14    0     1     -0.2    1.000     0
    15    0     6      0.3    1.000     0
    16    0     2      0.0    1.000     0
    17    0     2      0.3    1.000     0
    18    0     5      0.3    1.000     0
    19    0     2      0.0    1.000     0
    20    0    17      0.0    1.000     0
    21    0     5     -0.1    1.000     0
    22    0     2      0.1    1.000     0
    23    0     1      0.3    1.000     0
    24    0     2      0.0    1.000     0
    25    0     1     -0.3    1.000     0
    26    0     2      0.3    1.000     0
    27    0     1      0.0    1.000     0
    28    0     2      0.0    1.000     0
    29    0     2      0.4    1.000     0
    30    0     1      0.0    1.000     0
    31    0     9      0.3    1.000     0
    32    0     1      0.3    1.000     0
    33    0     6      0.3    1.000     0
    34    0     2      0.0    1.000     0
    35    0     2      0.3    1.000     0
    36    0     2      0.0    1.000     0
    37    0     1      0.0    1.000     0
    38    0     3  -10000.0    0.000     0
    39    0     1     -0.0    1.000     0
    40    0     2      0.0    1.000     0
    41    0     2      0.0    1.000     0
    42    0     2  -10000.0    0.000     0
    43    0     1      0.0    1.000     0
    44    0     2      0.0    1.000     0
    45    0     1      0.3    1.000     0
    46    0     1     -0.5    1.000     0
    47    0     1  -10000.0    0.000     0
    48    0     2      0.0    1.000     0
    49    0     1      0.0    1.000     0
    50    0     1      0.3    1.000     0
    51    0    12      0.2    1.000     0
    52    0     1     -0.5    1.000     0
    53    0     2     -0.0    1.000     0
    54    0     1      0.3    1.000     0
    55    0    14      0.1    1.000     0
    56    0     2     -0.2    1.000     0
    57    0     2      0.1    1.000     0
    58    0     1      0.0    1.000     0
    59    0     2     -0.2    1.000     0
    60    0     2  -10000.0    0.000     0
    61    0     2      0.1    1.000     0
    62    0     1      0.1    1.000     0
    63    0     1     -0.1    1.000     0
    64    0     1      0.2    1.000     0
    65    0     1      0.0    1.000     0
    66    0     1      0.0    1.000     0
    67    0     1      0.2    1.000     0
    68    0     1      0.0    1.000     0
    69    0     2  -10000.0    0.000     0
    70    0     1     -3.0    1.000     0
    71    0     2      0.2    1.000     0
    72    0     2     -0.2    1.000     0
    73    0     2     -0.5    1.000     0
    74    0     1  -10000.0    0.000     0
    75    0     2     -0.1    1.000     0
    76    0     1      0.2    1.000     0
    77    0     1     -0.2    1.000     0
    78    0     2     -0.2    1.000     0
    79    0     1  -10000.0    0.000     0
    80    0     1     -0.2    1.000     0
    81    0     2     -0.2    1.000     0
    82    0     2      0.0    1.000     0
    83    0     8      0.3    1.000     0
    84    0     3  -10000.0    0.000     0
    85    0     1     -0.2    1.000     0
    86    0     2     -0.1    1.000     0
    87    0     1  -10000.0    0.000     0
    88    0     2  -10000.0    0.000     0
    89    0     2      0.2    1.000     0
    90    0     2     -0.3    1.000     0
    91    0     1     -0.4    1.000     0
    92    0     1     -0.2    1.000     0
    93    0     1      0.0    1.000     0
    94    0     1      0.3    1.000     0
    95    0     2      0.2    1.000     0
    96    0     1      0.2    1.000     0
    97    0     1     -0.2    1.000     0
    98    0     2      0.0    1.000     0
    99    0     2     -0.2    1.000     0
   100    0     2  -10000.0    0.000     0
   101    0     2     -0.2    1.000     0
   102    0     1     -0.2    1.000     0
   103    0     2      0.0    1.000     0
   104    0     1     -0.2    1.000     0
   105    0     2      0.3    1.000     0
   106    0     1     -0.1    1.000     0
   107    0     2      0.0    1.000     0
   108    0     2     -0.2    1.000     0
   109    0     2     -0.2    1.000     0
   110    0     1     -0.2    1.000     0
   111    0     2     -0.3    1.000     0
   112    0     2      0.3    1.000     0
   113    0     1     -0.1    1.000     0
   114    0     1     -0.2    1.000     0
   115    0     1      0.2    1.000     0
   116    0     1     -0.1    1.000     0
   117    0     2     -0.3    1.000     0
   118    0     2  -10000.0    0.000     0
   119    0     1      0.1    1.000     0
   120    0     2     -0.2    1.000     0
   121    0     2      0.0    1.000     0
   122    0     2     -0.2    1.000     0
   123    0     1      0.0    1.000     0
   124    0     2     -0.2    1.000     0
   125    0     1     -0.2    1.000     0
   126    0     2  -10000.0    0.000     0
   127    0     2     -0.3    1.000     0
   128    0     2      0.1    1.000     0
   129    0     1      0.0    1.000     0
   130    0     2     -0.0    1.000     0
   131    0     1      0.3    1.000     0
   132    0     2      0.0    1.000     0
   133    0     2     -0.2    1.000     0
   134    0     1     -0.1    1.000     0
Total extinctions: 0
Generation time: 56.347 sec

 ****** Running generation 1 ****** 

Population's average fitness: -1398.61936 stdev: 3468.41144
Best fitness: 0.39763 - size: (2, 14) - species 29 - id 41
Average adjusted fitness: 0.885
Mean genetic distance 3.156, standard deviation 0.598
Population of 291 members in 134 species:
   ID   age  size  fitness  adj fit  stag
  ====  ===  ====  =======  =======  ====
     1    1     5      0.3    1.000     1
     2    1     1      0.3    1.000     0
     3    1     2      0.2    1.000     1
     4    1     2      0.2    1.000     1
     5    1     1     -0.3    1.000     1
     6    1     2      0.3    1.000     1
     7    1     2     -0.0    1.000     0
     8    1     1      0.0    1.000     1
     9    1     2  -10000.0    0.000     1
    10    1     2     -0.0    1.000     1
    11    1     2      0.2    1.000     1
    12    1     2      0.3    1.000     1
    13    1     2     -0.1    1.000     1
    14    1     2     -0.2    1.000     1
    15    1     3      0.2    1.000     1
    16    1     2      0.0    1.000     1
    17    1     2      0.3    1.000     1
    18    1    13      0.3    1.000     0
    19    1     2      0.0    1.000     1
    20    1     2      0.3    1.000     0
    21    1    13      0.4    1.000     0
    22    1     2      0.1    1.000     1
    23    1     2      0.3    1.000     1
    24    1     2      0.0    1.000     0
    25    1     2     -0.3    1.000     1
    26    1     2      0.3    1.000     1
    27    1     2     -0.2    1.000     1
    28    1     2      0.0    1.000     1
    29    1     2      0.4    1.000     1
    30    1     2     -0.3    1.000     1
    31    1     1      0.3    1.000     0
    32    1     2      0.3    1.000     1
    33    1     3      0.2    0.167     1
    34    1     2      0.0    1.000     0
    35    1     2      0.3    1.000     1
    36    1     2      0.0    1.000     1
    37    1     2      0.0    1.000     1
    38    1     3  -10000.0    0.000     1
    39    1     2     -0.0    1.000     1
    40    1     2      0.3    1.000     0
    41    1     2      0.0    1.000     1
    42    1     2  -10000.0    0.000     1
    43    1     2      0.0    1.000     1
    44    1     2      0.0    1.000     1
    45    1     2     -0.2    1.000     1
    46    1     2     -0.5    1.000     1
    47    1     1  -10000.0    0.000     1
    48    1     2      0.0    1.000     0
    49    1     2     -0.1    1.000     1
    50    1     2      0.0    1.000     1
    51    1     5      0.3    0.917     0
    52    1     2     -0.5    1.000     1
    53    1     2      0.0    1.000     0
    54    1     2      0.0    1.000     1
    55    1     2      0.3    1.000     0
    56    1     2      0.2    1.000     0
    57    1     2      0.1    0.500     1
    58    1     2      0.0    1.000     1
    59    1     2     -0.2    1.000     1
    60    1     2  -10000.0    0.000     1
    61    1     2      0.1    1.000     0
    62    1     2      0.1    1.000     1
    63    1     2     -0.1    1.000     1
    64    1     2      0.2    1.000     1
    65    1     2      0.0    1.000     1
    66    1     2      0.0    1.000     1
    67    1     1      0.2    1.000     1
    68    1     2      0.0    1.000     1
    69    1     2      0.0    0.500     0
    70    1     2     -3.0    1.000     1
    71    1     2      0.2    1.000     1
    72    1     2      0.0    1.000     0
    73    1     2     -0.2    1.000     0
    74    1     2  -10000.0    0.000     1
    75    1     2     -0.1    1.000     0
    76    1     2      0.2    1.000     1
    77    1     2     -0.4    1.000     1
    78    1     2     -0.2    1.000     1
    79    1     1  -10000.0    0.000     1
    80    1     2     -0.2    1.000     1
    81    1     2     -0.2    1.000     1
    82    1     2      0.0    1.000     1
    83    1     6  -10000.0    0.000     1
    84    1     2  -10000.0    0.000     1
    85    1     2     -0.2    1.000     1
    86    1     2     -0.1    1.000     1
    87    1     2  -10000.0    0.000     1
    88    1     2      0.0    0.500     0
    89    1     1     -0.0    1.000     1
    90    1     2     -0.2    1.000     0
    91    1     1     -0.4    1.000     1
    92    1     2     -0.2    1.000     1
    93    1     1      0.0    1.000     1
    94    1     2      0.1    1.000     1
    95    1     1      0.2    1.000     1
    96    1     2     -0.0    1.000     1
    97    1     2     -0.2    1.000     1
    98    1     2      0.0    0.500     1
    99    1     2     -0.2    0.500     1
   100    1     2     -0.0    0.500     0
   101    1     2     -0.2    1.000     1
   102    1     1     -0.2    1.000     1
   103    1     2      0.0    1.000     0
   104    1     1     -0.2    1.000     1
   105    1     2      0.3    1.000     1
   106    1     2     -0.1    1.000     1
   107    1     2      0.0    1.000     0
   108    1     2     -0.2    1.000     1
   109    1     2      0.0    1.000     0
   110    1     2     -0.2    1.000     1
   111    1     2     -0.2    1.000     0
   112    1     2      0.3    1.000     1
   113    1     2     -0.1    1.000     1
   114    1     2     -0.2    1.000     1
   115    1     2     -0.1    1.000     1
   116    1     2     -0.4    1.000     1
   117    1     2      0.3    1.000     0
   118    1     2  -10000.0    0.000     1
   119    1     2      0.0    1.000     1
   120    1     2     -0.2    1.000     0
   121    1     2      0.0    1.000     1
   122    1     2     -0.2    1.000     0
   123    1     2      0.0    1.000     1
   124    1     2     -0.2    1.000     1
   125    1     2     -0.2    1.000     1
   126    1     2     -0.2    0.500     0
   127    1     2     -0.2    1.000     0
   128    1     2      0.1    1.000     1
   129    1     2      0.0    1.000     1
   130    1     2      0.2    1.000     0
   131    1     2      0.3    1.000     1
   132    1     2      0.1    1.000     0
   133    1     2      0.1    1.000     0
   134    1     3     -0.1    1.000     1
Total extinctions: 0
Generation time: 60.310 sec (58.329 average)

 ****** Running generation 2 ****** 

Population's average fitness: -1374.59680 stdev: 3443.28160
Best fitness: 0.39763 - size: (2, 14) - species 29 - id 41
Average adjusted fitness: 0.864
Mean genetic distance 3.192, standard deviation 0.589
Population of 277 members in 134 species:
   ID   age  size  fitness  adj fit  stag
  ====  ===  ====  =======  =======  ====
     1    2     4      0.3    1.000     2
     2    2     1     -0.0    1.000     1
     3    2     2      0.2    1.000     2
     4    2     2      0.2    1.000     2
     5    2     1     -0.3    1.000     2
     6    2     2      0.3    1.000     2
     7    2     2     -0.0    1.000     1
     8    2     1      0.0    1.000     2
     9    2     2  -10000.0    0.000     2
    10    2     2     -0.0    1.000     2
    11    2     2      0.2    1.000     2
    12    2     2      0.3    1.000     2
    13    2     2     -0.1    1.000     2
    14    2     2     -0.1    1.000     0
    15    2     4      0.3    1.000     2
    16    2     2      0.0    1.000     2
    17    2     2      0.3    1.000     2
    18    2     1      0.3    1.000     0
    19    2     2      0.0    1.000     2
    20    2     2      0.0    1.000     1
    21    2     6      0.4    1.000     1
    22    2     2      0.1    1.000     2
    23    2     2      0.3    1.000     0
    24    2     2      0.0    1.000     1
    25    2     2     -0.2    1.000     0
    26    2     2      0.3    1.000     2
    27    2     2     -0.2    1.000     2
    28    2     2      0.0    1.000     2
    29    2     2      0.4    1.000     2
    30    2     2      0.3    1.000     0
    31    2     4      0.3    1.000     1
    32    2     2      0.3    1.000     2
    33    2     2      0.0    0.333     2
    34    2     2      0.0    1.000     1
    35    2     2      0.3    1.000     2
    36    2     2      0.0    1.000     2
    37    2     2      0.2    1.000     0
    38    2     2  -10000.0    0.000     2
    39    2     2     -0.0    1.000     2
    40    2     2      0.3    1.000     1
    41    2     2      0.0    1.000     2
    42    2     2  -10000.0    0.000     2
    43    2     2      0.0    1.000     0
    44    2     2      0.0    1.000     2
    45    2     2     -0.2    0.500     2
    46    2     2     -0.5    0.500     2
    47    2     2  -10000.0    0.000     2
    48    2     2      0.0    1.000     1
    49    2     2     -0.1    0.500     2
    50    2     2      0.0    1.000     2
    51    2     2      0.3    1.000     1
    52    2     2      0.3    1.000     0
    53    2     2      0.0    1.000     1
    54    2     2      0.0    1.000     2
    55    2     4     -0.1    1.000     1
    56    2     2      0.2    1.000     1
    57    2     2      0.1    0.500     2
    58    2     2      0.0    1.000     0
    59    2     2     -0.2    1.000     2
    60    2     2  -10000.0    0.000     2
    61    2     2      0.1    1.000     1
    62    2     2      0.1    1.000     2
    63    2     2     -0.0    1.000     0
    64    2     2      0.2    1.000     2
    65    2     2      0.0    1.000     2
    66    2     2      0.0    1.000     2
    67    2     2      0.2    1.000     2
    68    2     2      0.0    1.000     2
    69    2     2      0.0    0.500     1
    70    2     2     -3.0    0.500     2
    71    2     2      0.2    1.000     2
    72    2     2      0.0    1.000     1
    73    2     2     -0.2    1.000     1
    74    2     2  -10000.0    0.000     2
    75    2     2     -0.1    1.000     1
    76    2     2      0.2    1.000     2
    77    2     2     -0.1    1.000     0
    78    2     2     -0.2    1.000     2
    79    2     2  -10000.0    0.000     2
    80    2     2     -0.2    0.500     2
    81    2     2     -0.2    1.000     2
    82    2     2      0.0    1.000     2
    83    2     3  -10000.0    0.000     2
    84    2     2  -10000.0    0.000     2
    85    2     2     -0.2    1.000     2
    86    2     2     -0.1    1.000     2
    87    2     2  -10000.0    0.000     2
    88    2     2      0.0    0.500     1
    89    2     2     -0.2    1.000     2
    90    2     2     -0.2    1.000     1
    91    2     2     -0.4    1.000     2
    92    2     2     -0.1    1.000     0
    93    2     2      0.0    1.000     2
    94    2     2      0.1    1.000     2
    95    2     2      0.2    1.000     2
    96    2     2      0.0    1.000     2
    97    2     2     -0.2    1.000     0
    98    2     2      0.0    0.500     2
    99    2     2     -0.2    0.500     2
   100    2     2     -0.0    0.500     1
   101    2     2     -0.2    1.000     2
   102    2     2     -0.2    1.000     2
   103    2     2      0.0    1.000     1
   104    2     2     -0.2    1.000     2
   105    2     2      0.3    1.000     2
   106    2     2      0.1    1.000     0
   107    2     2      0.0    1.000     1
   108    2     2     -0.2    1.000     2
   109    2     2      0.0    1.000     1
   110    2     2     -0.2    1.000     2
   111    2     2     -0.2    1.000     1
   112    2     2      0.3    1.000     2
   113    2     2     -0.1    1.000     0
   114    2     2     -0.2    1.000     2
   115    2     2     -0.1    1.000     2
   116    2     2     -0.4    0.500     2
   117    2     2      0.3    1.000     1
   118    2     2  -10000.0    0.000     2
   119    2     2      0.3    1.000     0
   120    2     2     -0.2    1.000     1
   121    2     2      0.0    1.000     2
   122    2     2     -0.2    1.000     1
   123    2     2      0.0    1.000     2
   124    2     2     -0.2    1.000     2
   125    2     2      0.0    1.000     0
   126    2     2     -0.2    0.500     1
   127    2     2     -0.2    1.000     1
   128    2     2      0.1    1.000     2
   129    2     2      0.1    1.000     0
   130    2     2      0.2    1.000     1
   131    2     2      0.3    1.000     0
   132    2     2      0.1    1.000     1
   133    2     2      0.1    1.000     1
