pop_size;best_fit;num_species
114;0.2643514870497265;4
110;0.2643514870497265;6
111;0.38480347914984847;7
109;0.38480347914984847;8
103;0.38480347914984847;10
107;0.3889947780390907;11
104;0.3889947780390907;14
111;0.3889947780390907;14
109;0.3889947780390907;15
108;0.3889947780390907;15
115;0.3889947780390907;15
101;0.3889947780390907;15
104;0.3889947780390907;16
108;0.3889947780390907;16
106;0.3889947780390907;18
102;0.3889947780390907;19
106;0.3889947780390907;18
103;0.3889947780390907;19
98;0.3889947780390907;19
97;0.3889947780390907;18
100;0.3889947780390907;18
103;0.3889947780390907;19
99;0.3889947780390907;18
101;0.3889947780390907;18
95;0.3889947780390907;18
101;0.3889947780390907;18
97;0.3936904454575516;17
103;0.3936904454575516;18
94;0.3936904454575516;16
98;0.3936904454575516;18
99;0.3936904454575516;20
98;0.3936904454575516;22
99;0.3936904454575516;22
100;0.3936904454575516;21
101;0.3936904454575516;20
107;0.3936904454575516;23
108;0.3936904454575516;24
103;0.3936904454575516;25
109;0.3936904454575516;25
110;0.3936904454575516;25
105;0.3936904454575516;28
108;0.3936904454575516;28
108;0.3936904454575516;27
108;0.3936904454575516;28
104;0.3936904454575516;28
98;0.3936904454575516;25
98;0.3936904454575516;23
100;0.3936904454575516;23
105;0.3936904454575516;22
91;0.3936904454575516;20
92;0.3936904454575516;19
98;0.3936904454575516;19
105;0.3936904454575516;19
105;0.4151534437338348;19
103;0.4151534437338348;19
103;0.4151534437338348;21
104;0.4151534437338348;23
103;0.4151534437338348;21
106;0.4151534437338348;20
100;0.4151534437338348;19
102;0.4151534437338348;18
107;0.4151534437338348;19
110;0.4151534437338348;18
97;0.4151534437338348;19
103;0.4151534437338348;19
102;0.42042979827043503;19
101;0.42042979827043503;19
105;0.42042979827043503;20
103;0.42042979827043503;19
97;0.42042979827043503;20
100;0.42042979827043503;21
89;0.42042979827043503;19
92;0.42042979827043503;18
92;0.42042979827043503;18
98;0.48135429856571044;20
96;0.48135429856571044;19
94;0.48135429856571044;20
98;0.48135429856571044;20
97;0.48135429856571044;19
93;0.48135429856571044;20
90;0.48135429856571044;21
83;0.48135429856571044;21
86;0.48135429856571044;22
87;0.48135429856571044;24
98;0.48135429856571044;25
93;0.48135429856571044;25
88;0.48135429856571044;25
95;0.48135429856571044;26
98;0.48135429856571044;26
102;0.48135429856571044;27
95;0.48135429856571044;29
101;0.48135429856571044;29
102;0.48135429856571044;29
99;0.48135429856571044;31
111;0.48135429856571044;32
102;0.48135429856571044;30
96;0.48135429856571044;32
106;0.48135429856571044;33
109;0.48135429856571044;34
107;0.48135429856571044;34
106;0.48135429856571044;35
108;0.48135429856571044;35
112;0.48135429856571044;34
104;0.48135429856571044;33
112;0.48135429856571044;32
