
 ****** Running generation 0 ****** 

Population's average fitness: -506.73564 stdev: 2195.75720
Best fitness: 5.70901 - size: (2, 14) - species 18 - id 36
Average adjusted fitness: 0.925
Mean genetic distance 3.215, standard deviation 0.546
Population of 296 members in 120 species:
   ID   age  size  fitness  adj fit  stag
  ====  ===  ====  =======  =======  ====
     1    0     2      0.5    0.999     0
     2    0     2      3.2    1.000     0
     3    0     1     -1.0    0.999     0
     4    0     1      2.3    1.000     0
     5    0    13      5.3    1.000     0
     6    0     5      3.5    1.000     0
     7    0     2      4.7    1.000     0
     8    0     1      1.9    1.000     0
     9    0     1      1.7    0.999     0
    10    0     2     -2.1    0.999     0
    11    0     2      1.1    1.000     0
    12    0     1     -0.5    0.999     0
    13    0     2      0.5    0.999     0
    14    0     1     -1.1    0.999     0
    15    0     1      2.7    1.000     0
    16    0     2     -0.8    0.999     0
    17    0    21      1.9    1.000     0
    18    0     1      5.7    1.000     0
    19    0     1      4.0    1.000     0
    20    0     1     -0.2    0.999     0
    21    0     1      3.0    1.000     0
    22    0     1     -0.1    0.999     0
    23    0     1      2.0    1.000     0
    24    0     1      4.4    1.000     0
    25    0     2     -0.7    0.999     0
    26    0    30      3.1    1.000     0
    27    0     7      1.9    0.999     0
    28    0     2  -10000.0    0.000     0
    29    0     1      0.8    0.999     0
    30    0     2     -0.8    0.999     0
    31    0     2     -1.1    0.999     0
    32    0     2     -2.0    0.999     0
    33    0     1      0.2    0.999     0
    34    0     1      3.0    1.000     0
    35    0     2      0.5    0.999     0
    36    0     2     -1.2    0.999     0
    37    0     1     -0.8    0.999     0
    38    0     1      4.9    1.000     0
    39    0     1     -0.8    0.999     0
    40    0    10      4.8    1.000     0
    41    0     2      3.1    1.000     0
    42    0     2  -10000.0    0.000     0
    43    0     2      1.7    1.000     0
    44    0     1      2.1    0.999     0
    45    0     2      2.9    1.000     0
    46    0     2      0.9    1.000     0
    47    0     1      3.2    1.000     0
    48    0     1      2.3    1.000     0
    49    0     6     -0.0    0.999     0
    50    0     2     -2.0    0.999     0
    51    0     2  -10000.0    0.000     0
    52    0     2      4.0    1.000     0
    53    0     1  -10000.0    0.000     0
    54    0     2      0.1    0.999     0
    55    0    13      1.9    1.000     0
    56    0     2      1.3    1.000     0
    57    0     1     -1.4    0.999     0
    58    0     2     -2.6    0.999     0
    59    0     2      5.2    1.000     0
    60    0     1      0.6    0.999     0
    61    0     1      5.7    1.000     0
    62    0     2     -2.5    0.999     0
    63    0     2      0.1    0.999     0
    64    0     1      2.5    0.999     0
    65    0     2      0.6    0.999     0
    66    0     1     -2.6    0.999     0
    67    0     7     -0.1    0.999     0
    68    0     2      0.2    0.999     0
    69    0     1      5.4    1.000     0
    70    0     2      1.1    1.000     0
    71    0     2     -0.8    0.999     0
    72    0     1      1.1    1.000     0
    73    0     1      2.8    1.000     0
    74    0     2     -0.7    0.999     0
    75    0     2      0.2    0.999     0
    76    0     2      4.8    1.000     0
    77    0     1     -0.3    0.999     0
    78    0     1     -2.2    0.999     0
    79    0     2     -0.7    0.999     0
    80    0     1      3.8    1.000     0
    81    0     2     -0.7    0.999     0
    82    0     2      3.0    1.000     0
    83    0     1  -10000.0    0.000     0
    84    0     2     -4.1    0.999     0
    85    0     2     -3.7    0.999     0
    86    0     2      0.2    0.999     0
    87    0     1      1.1    1.000     0
    88    0     2     -0.4    0.999     0
    89    0     1  -10000.0    0.000     0
    90    0     2      3.3    1.000     0
    91    0     2  -10000.0    0.000     0
    92    0     1      2.0    1.000     0
    93    0     2      1.5    1.000     0
    94    0     2      3.1    1.000     0
    95    0     2      4.1    1.000     0
    96    0     2     -1.0    0.999     0
    97    0     8      3.6    1.000     0
    98    0     2      0.5    0.999     0
    99    0     1      2.9    1.000     0
   100    0     1      1.5    1.000     0
   101    0     2      1.2    1.000     0
   102    0     2      3.5    1.000     0
   103    0     2      3.1    1.000     0
   104    0     1      1.6    1.000     0
   105    0     2      1.9    1.000     0
   106    0     1  -10000.0    0.000     0
   107    0     1     -0.5    0.999     0
   108    0     2     -3.3    0.999     0
   109    0     2      2.0    1.000     0
   110    0     2  -10000.0    0.000     0
   111    0     2     -0.8    0.999     0
   112    0     2     -0.1    0.999     0
   113    0     2      0.7    0.999     0
   114    0     2      0.1    0.999     0
   115    0     2      0.8    1.000     0
   116    0     2      0.2    0.999     0
   117    0     2     -0.5    0.999     0
   118    0     2      0.1    0.999     0
   119    0     2      3.0    1.000     0
   120    0     2      0.2    0.999     0
Total extinctions: 0
Generation time: 47.761 sec

 ****** Running generation 1 ****** 

Population's average fitness: -843.55606 stdev: 2781.07254
Best fitness: 5.70901 - size: (2, 14) - species 5 - id 36
Average adjusted fitness: 0.905
Mean genetic distance 3.185, standard deviation 0.598
Population of 274 members in 120 species:
   ID   age  size  fitness  adj fit  stag
  ====  ===  ====  =======  =======  ====
     1    1     2      4.8    1.000     0
     2    1     2      3.2    1.000     1
     3    1     2     -1.0    0.999     1
     4    1     2      0.2    0.999     1
     5    1     3      5.7    1.000     0
     6    1     7     -0.7    0.200     1
     7    1     2      4.7    1.000     1
     8    1     2      1.1    1.000     1
     9    1     2      1.7    1.000     1
    10    1     2      1.7    0.999     0
    11    1     2      3.0    1.000     0
    12    1     2     -2.5    0.999     1
    13    1     2      5.6    1.000     0
    14    1     2     -1.1    0.999     1
    15    1     2      1.0    1.000     1
    16    1     2      0.7    0.999     0
    17    1     8      3.6    1.000     0
    18    1     2      5.0    1.000     1
    19    1     2      3.3    1.000     1
    20    1     2     -0.2    0.999     1
    21    1     2      2.0    1.000     1
    22    1     1     -1.9    0.999     1
    23    1     2      0.3    0.999     1
    24    1     2      4.1    1.000     1
    25    1     2     -0.7    0.500     1
    26    1     9      5.4    1.000     0
    27    1     6      3.1    1.000     0
    28    1     2      2.5    0.500     0
    29    1     2      0.5    0.999     1
    30    1     1     -0.8    0.999     1
    31    1     2     -0.7    0.999     0
    32    1     2     -0.1    0.999     0
    33    1     2      0.2    0.999     1
    34    1     2      3.0    1.000     1
    35    1     2      0.5    0.999     1
    36    1     2     -1.2    0.500     1
    37    1     1     -0.8    0.999     1
    38    1     2      4.9    1.000     1
    39    1     2     -2.5    0.999     1
    40    1     1      5.2    0.999     0
    41    1     2      4.7    1.000     0
    42    1     2  -10000.0    0.000     1
    43    1     2      1.7    0.500     1
    44    1     2     -0.8    0.999     1
    45    1     2      2.9    0.500     1
    46    1     2      1.3    1.000     0
    47    1     2      3.2    1.000     1
    48    1     1      2.3    1.000     1
    49    1     7  -10000.0    0.000     1
    50    1     2      3.6    1.000     0
    51    1     2      4.3    0.500     0
    52    1     2      1.5    0.999     1
    53    1     1  -10000.0    0.000     1
    54    1     2      3.2    1.000     0
    55    1     9      4.8    1.000     0
    56    1     2      2.2    1.000     0
    57    1     2     -1.4    0.999     1
    58    1     2     -0.4    0.999     0
    59    1     2      5.2    1.000     1
    60    1     2      0.6    0.999     1
    61    1     2      4.7    1.000     1
    62    1     2      1.3    0.999     0
    63    1     2      3.0    1.000     0
    64    1     2      2.1    1.000     1
    65    1     2      0.6    0.999     1
    66    1     1     -2.6    0.999     1
    67    1     1     -0.1    0.999     0
    68    1     2      0.2    0.999     1
    69    1     2      5.0    1.000     1
    70    1     2      3.4    1.000     0
    71    1     2     -0.8    0.999     1
    72    1     2      0.7    0.999     1
    73    1     2      2.8    1.000     1
    74    1     2     -0.7    0.999     1
    75    1     2      1.2    0.999     0
    76    1     3      5.4    1.000     0
    77    1     2     -0.3    0.999     1
    78    1     2     -3.4    0.999     1
    79    1     2     -0.5    0.999     0
    80    1     2      3.8    1.000     1
    81    1     2     -2.3    0.999     1
    82    1     2      3.2    1.000     0
    83    1     2  -10000.0    0.000     1
    84    1     2      1.6    0.999     0
    85    1     2      0.0    0.999     0
    86    1     2      0.2    0.999     1
    87    1     2      1.1    1.000     1
    88    1     2     -0.1    0.999     0
    89    1     2  -10000.0    0.000     1
    90    1     2      3.3    1.000     1
    91    1     2     -0.0    0.500     0
    92    1     1      2.0    1.000     1
    93    1     2      1.5    1.000     1
    94    1     2      3.1    1.000     1
    95    1     2      4.1    1.000     1
    96    1     2     -1.0    0.999     1
    97    1     9      3.1    0.999     1
    98    1     2      0.5    0.999     1
    99    1     2      2.9    1.000     1
   100    1     2      1.5    1.000     1
   101    1     2      1.2    1.000     1
   102    1     2      3.5    1.000     1
   103    1     2      3.1    1.000     1
   104    1     2      1.6    1.000     1
   105    1     2      2.9    1.000     0
   106    1     2  -10000.0    0.000     1
   107    1     2     -0.5    0.999     1
   108    1     2      0.9    0.999     0
   109    1     2      2.0    1.000     1
   110    1     2      0.2    0.500     0
   111    1     2     -0.8    0.500     1
   112    1     2      5.2    1.000     0
   113    1     2      0.7    0.999     1
   114    1     2      0.1    0.999     1
   115    1     2      0.8    0.999     1
   116    1     2      3.9    1.000     0
   117    1     2      1.4    0.999     0
   118    1     2      0.6    0.999     0
   119    1     2      3.0    1.000     1
   120    1     2      1.1    0.999     0
Total extinctions: 0
Generation time: 53.611 sec (50.686 average)

 ****** Running generation 2 ****** 

Population's average fitness: -1093.88155 stdev: 3122.87265
Best fitness: 5.70901 - size: (2, 14) - species 5 - id 36
Average adjusted fitness: 0.906
Mean genetic distance 3.256, standard deviation 0.555
Population of 253 members in 120 species:
   ID   age  size  fitness  adj fit  stag
  ====  ===  ====  =======  =======  ====
     1    2     2      4.8    1.000     1
     2    2     2      3.2    1.000     2
     3    2     2     -1.0    0.999     2
     4    2     2      5.2    1.000     0
     5    2     2      5.7    0.666     1
     6    2    13      5.2    0.571     0
     7    2     2      4.7    1.000     2
     8    2     2      1.8    1.000     2
     9    2     2      2.5    1.000     0
    10    2     2      1.7    0.999     1
    11    2     2      3.0    1.000     1
    12    2     2      2.8    0.999     0
    13    2     2      5.6    1.000     1
    14    2     2     -1.1    0.999     2
    15    2     1      3.4    1.000     0
    16    2     2      0.7    0.999     1
    17    2     3      4.6    1.000     0
    18    2     2      5.0    1.000     2
    19    2     2      3.3    1.000     2
    20    2     2     -0.2    0.999     2
    21    2     2      3.1    1.000     0
    22    2     1     -1.9    0.999     2
    23    2     2      0.3    0.999     2
    24    2     2      5.3    1.000     0
    25    2     2     -0.7    0.500     2
    26    2     4      5.4    0.444     1
    27    2     7      4.5    1.000     0
    28    2     2      2.5    0.500     1
    29    2     2      0.5    0.999     2
    30    2     2     -0.8    0.999     2
    31    2     2     -0.7    0.999     1
    32    2     2     -0.1    0.999     1
    33    2     2      2.0    1.000     0
    34    2     2      3.1    1.000     0
    35    2     2      0.5    0.999     2
    36    2     2     -1.2    0.500     2
    37    2     2     -0.8    0.999     2
    38    2     2      4.9    1.000     2
    39    2     2     -2.5    0.999     2
    40    2     2     -2.8    0.999     1
    41    2     2      4.7    1.000     1
    42    2     2  -10000.0    0.000     2
    43    2     2      1.7    0.500     2
    44    2     2      0.0    0.999     2
    45    2     2      2.9    0.500     2
    46    2     2      1.3    1.000     1
    47    2     2      3.2    1.000     2
    48    2     2      2.3    1.000     2
    49    2     1      5.7    0.571     0
    50    2     2      3.6    1.000     1
    51    2     2      4.3    0.500     1
    52    2     2      1.5    0.999     2
    53    2     2  -10000.0    0.000     2
    54    2     2      3.2    1.000     1
    55    2     1      4.8    1.000     1
    56    2     2      2.2    1.000     1
    57    2     2      0.0    0.999     0
    58    2     2     -0.4    0.999     1
    59    2     2      5.2    1.000     2
    60    2     2      5.5    1.000     0
    61    2     2      4.7    1.000     2
    62    2     2      1.3    0.999     1
    63    2     2      3.0    1.000     1
    64    2     2      2.1    1.000     2
    65    2     2      0.6    0.999     2
    66    2     2     -2.6    0.999     2
    67    2     2     -0.7    0.999     1
    68    2     2      0.2    0.999     2
    69    2     2      5.0    1.000     2
    70    2     2      3.4    1.000     1
    71    2     2     -0.8    0.999     2
    72    2     2      0.7    0.999     2
    73    2     2      2.8    1.000     2
    74    2     2     -0.7    0.999     2
    75    2     2      1.2    0.999     1
    76    2     2      5.4    1.000     1
    77    2     2      0.0    0.999     0
    78    2     2      0.1    0.999     0
    79    2     2     -0.5    0.999     1
    80    2     2      4.4    1.000     0
    81    2     2     -2.3    0.999     2
    82    2     2      3.2    1.000     1
    83    2     2  -10000.0    0.000     2
    84    2     2      1.6    0.999     1
    85    2     2      0.0    0.999     1
    86    2     2      0.2    0.999     2
    87    2     2      1.1    0.500     2
    88    2     1     -0.1    0.999     1
    89    2     1  -10000.0    0.000     2
    90    2     2      3.3    1.000     2
    91    2     2     -0.0    0.500     1
    92    2     1      2.0    1.000     2
    93    2     2      1.5    1.000     2
    94    2     2      3.1    1.000     2
    95    2     2      4.1    1.000     2
    96    2     2     -1.0    0.999     2
    97    2     3      5.0    0.999     0
    98    2     2      0.5    0.999     2
    99    2     2      2.9    0.999     2
   100    2     2      1.5    1.000     2
   101    2     2      1.2    1.000     2
   102    2     2      3.5    1.000     2
   103    2     2      3.1    1.000     2
   104    2     2      4.4    1.000     0
   105    2     2      2.9    1.000     1
   106    2     2     -0.7    0.500     0
   107    2     2      3.1    1.000     0
   108    2     2      0.9    0.999     1
   109    2     2      2.0    1.000     2
   110    2     2      0.2    0.500     1
   111    2     2     -0.8    0.500     2
   112    2     2      5.2    1.000     1
   113    2     2      0.7    0.999     2
   114    2     2      0.1    0.999     2
   115    2     2      0.8    0.999     2
   116    2     2      3.9    1.000     1
   117    2     2      1.4    0.999     1
   118    2     2      0.6    0.999     1
   119    2     2      3.0    1.000     2
   120    2     2      1.1    0.999     1
Total extinctions: 0
Generation time: 46.986 sec (49.453 average)

 ****** Running generation 3 ****** 

Population's average fitness: -749.84632 stdev: 2635.83342
